정기 정비
기체 등록번호,누적 비행시간,정비 종류,주기,담당자,날짜
HL1179,5238.2,항공기 100 HRS,,김재림,2026-06-21
HL1179,5237.7,항공기 100 HRS,,김재림,2026-06-21
HL1179,5237.7,항공기 100 HRS,,김재림,2026-06-20
HL1179,5238.2,항공기 100 HRS,,김재림,2026-06-20
HL2046,5977.0,100H,,mech_cju_01,2026-05-10
HL2046,5900.0,Engine_200H,,mech_cju_01,2026-02-14
HL2046,5877.0,100H,,mech_cju_02,2026-01-16
HL2046,5800.0,TRP_100H,,mech_mua_02,2025-12-12
HL2046,5777.0,100H,,mech_cju_01,2025-11-20
HL2046,5700.0,200H,,mech_mua_01,2025-10-18
HL2046,5677.0,100H,,mech_cju_02,2025-09-22
HL2046,5577.0,100H,,mech_cju_01,2025-08-15

비정기 정비
기체 등록번호,누적 비행시간,정비 종류,담당자,날짜
HL2046,5950.0,500H,mech_mua_01,2026-03-25
